StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.3,Q2.4,Q2.5,Q2.7_1,Q3.1_Browser,Q3.1_Version,Q3.1_Operating System,Q3.1_Resolution,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.3,Q4.4_First Click,Q4.4_Last Click,Q4.4_Page Submit,Q4.4_Click Count,Q4.5,Q4.6_First Click,Q4.6_Last Click,Q4.6_Page Submit,Q4.6_Click Count,Q4.7,Q4.8_First Click,Q4.8_Last Click,Q4.8_Page Submit,Q4.8_Click Count,Q4.9,Q4.10_First Click,Q4.10_Last Click,Q4.10_Page Submit,Q4.10_Click Count,Q4.11,Q4.12_First Click,Q4.12_Last Click,Q4.12_Page Submit,Q4.12_Click Count,Q5.3,Q5.4_First Click,Q5.4_Last Click,Q5.4_Page Submit,Q5.4_Click Count,Q5.5,Q5.6_First Click,Q5.6_Last Click,Q5.6_Page Submit,Q5.6_Click Count,Q5.7,Q5.8_First Click,Q5.8_Last Click,Q5.8_Page Submit,Q5.8_Click Count,Q5.9,Q5.10_First Click,Q5.10_Last Click,Q5.10_Page Submit,Q5.10_Click Count,Q5.11,Q5.12_First Click,Q5.12_Last Click,Q5.12_Page Submit,Q5.12_Click Count,Q5.13,Q5.14_First Click,Q5.14_Last Click,Q5.14_Page Submit,Q5.14_Click Count,Q5.15,Q5.16_First Click,Q5.16_Last Click,Q5.16_Page Submit,Q5.16_Click Count,Q7.2_1,Q7.3,Q7.4,Q7.5,Q8.2_1,Q8.3,Q8.4,Q8.5,Q9.1,Q10.1,Q12.1,Q12.2,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11,Q13.12,Q13.13,Q13.14,Q14.2,Q14.3,Q14.3_3_TEXT,Q14.4,Q14.4_4_TEXT,Q14.5,id,DeviceIdentifier
Date de commencement,Date de fin,Type de réponse,Adresse IP,Progrès,Durée (en secondes),Terminé,Date enregistrée,Identifiant de la réponse,Nom du destinataire,Prénom du destinataire,Adresse e-mail du destinataire,Référence externe de données,Latitude de l'emplacement,Longitude de l'emplacement,Canal de distribution,Langue de l'utilisateur,Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Consentement de participation à la recherche

 

Sur la base des informations qui précèdent, je confirme mon accord pour participer à la recherche «[IntrPsyEnv] 2021 Experience 4», et j’autorise :

 

	l’utilisation des données à des fins scientifiques et la publication des résultats de la recherche dans des revues ou livres scientifiques, étant entendu que les données resteront anonymes et qu’aucune information ne sera donnée sur mon identité ;
	la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études conduites par le Consumer Decision and Sustainable Behavior Lab, sachant qu’aucune information au sujet de mon identité ne sera divulguée
	l’utilisation des données à des fins pédagogiques (cours et séminaires de formation d’étudiants ou de professionnels soumis au secret professionnel).

J’ai volontairement choisi de participer à cette étude. J’ai été informé du fait que je peux décider d’annuler ma participation en tout temps. Ce consentement ne libère pas les chercheurs de leurs responsabilités. Je conserve tous mes droits légaux.",Q2.4,Q2.5,Q2.7 - J’autorise le  « Consumer Decision and Sustainable Behavior Lab » à m'informer de ses futures études. Ceci ne m'engage pas à y participer mais m'en offre la possibilité si je le souhaite. J’ai la possibilité en tout temps de contacter le « Consumer Decision and Sustainable Behavior Lab » pour ne plus recevoir ces informations.,Browser Meta Info - Navigateur,Browser Meta Info - Version,Browser Meta Info - Système d'exploitation,Browser Meta Info - Résolution,"Afin de pouvoir relier ce questionnaire à des études futures comme mentionné dans le formulaire de consentement tout en préservant votre anonymat, veuillez sélectionner ci-dessous :

La première lettre du prénom de votre père :",La première lettre du prénom de votre mère :,La première lettre de votre prénom :,Votre jour de naissance:,Votre mois de naissance :,"Selon votre calcul, si un objet se déplace à 5 m/min, combien de mètres parcourra-t-il en 360s?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Selon votre calcul, si un boulanger achète 9 kg de farine à 1.50 CHF / kg, combien le boulanger a-t-il payé au total?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Supposons qu'un élève ait acheté un stylo et un crayon pour un total de 11 CHF et que le stylo coûte 10 CHF de plus que le crayon. Selon votre calcul, combien a coûté le crayon?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Selon vos calculs, si un consommateur a acheté 30 livres pour 450 CHF, combien le consommateur a-t-il payé pour chaque livre?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Selon vos calculs, si un pêcheur attrape 13 saumons par heure, combien de saumons devrait-il s'attendre à capturer au cours d'un voyage de 18 heures?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le nom de ""Nicolas Sarkozy"", que ressentez-vous? 
Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le mot ""bébé"", que ressentez-vous? 
Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le mot ""mariage"", que ressentez-vous? 
Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le mot ""pauvreté"", que ressentez-vous?

Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le mot ""révolution"", que ressentez-vous? 
Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le mot ""dimanche"", que ressentez-vous? 
Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Lorsque vous entendez le mot ""internet"", que ressentez-vous? 
Veuillez utiliser un mot ou une phrase pour décrire votre sentiment prédominant.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,"Combien seriez-vous prêt.e.s à payer pour cette ampoule led?

Habituellement, une ampoule de ce type coûte en moyenne entre 5 et 15 chf. - CHF",Quelle est la probabilité que vous achetiez ce produit?,Dans quelle mesure seriez-vous susceptible de recommander cette ampoule led à d'autres?,A quel point trouvez-vous ce produit écologique?,"Combien seriez-vous prêt.e.s à payer pour cette ampoule led? 
Habituellement, une ampoule de ce type coûte en moyenne entre 5 et 15 chf. - CHF",Quelle est la probabilité que vous achetiez ce produit?,Dans quelle mesure seriez-vous susceptible de recommander cette ampoule led à d'autres?,A quel point trouvez-vous ce produit écologique?,Connaissiez-vous la marque de l'ampoule led présentée?,"Pensez au moment où vous prenez une décision. 

 

De manière générale, avez-vous tendance à décider assez rapidement en vous appuyant principalement sur votre intuition ou plutôt à réfléchir avec précision à toutes les alternatives possibles et aux conséquences de votre choix, en prenant autant de temps que nécessaire avant de prendre une décision finale?",Avez-vous des sentiments négatifs à propos du réchauffement climatique?,Avez-vous des sentiments positifs à propos du réchauffement climatique?,"Je choisis l'alternative écologique d'un produit, si elle existe, quel que soit son prix","Je choisis l'alternative écologique d'un produit, si il n'y a pas de différence de prix significative",Je souhaite poser des questions sur les conséquences environnementales d'un produit avant de l'acheter,Je préfère les produits en papier recyclé,J'essaye de trouver des produits munis d'un label écologique (éco-label),Je préfère acheter des fruits et légumes bio,"Je préfère les détergents écologiques, même s'ils sont plus cher",Je préfère acheter des détergents écologiques même s'ils sont pas aussi efficaces,"Je serai prêt.e à changer ma marque de détergent habituelle pour une autre, plus respectueux de l'environnement","Je choisis d'acheter des aérosols (par exemple, déodorants, insecticides, désodorisant fraicheur d'ambiance en spray) qui ne détruisent pas la couche d'ozone","Chaque fois que j'ai le choix, je choisis le produit le moins polluant",J'essaye d'éviter les produits nocifs pour l'environnement,"Je préfère les produits en papier recyclé, même s'ils sont plus chers","Je choisis les produits en papier recyclé, même s'ils ne sont pas aussi blanc","Quel âge avez-vous?
En chiffres",Quel est votre genre? - Selected Choice,Quel est votre genre? - Autre (Spécifiez) - Texte,"Actuellement, êtes-vous? - Selected Choice","Actuellement, êtes-vous? - Autre (Spécifiez) - Texte",Est-ce que vous avez des commentaires à partager avec nous?,id,DeviceIdentifier
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_BROWSER""}","{""ImportId"":""QID44_VERSION""}","{""ImportId"":""QID44_OS""}","{""ImportId"":""QID44_RESOLUTION""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID55_FIRST_CLICK""}","{""ImportId"":""QID55_LAST_CLICK""}","{""ImportId"":""QID55_PAGE_SUBMIT""}","{""ImportId"":""QID55_CLICK_COUNT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID57_FIRST_CLICK""}","{""ImportId"":""QID57_LAST_CLICK""}","{""ImportId"":""QID57_PAGE_SUBMIT""}","{""ImportId"":""QID57_CLICK_COUNT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID58_FIRST_CLICK""}","{""ImportId"":""QID58_LAST_CLICK""}","{""ImportId"":""QID58_PAGE_SUBMIT""}","{""ImportId"":""QID58_CLICK_COUNT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID60_FIRST_CLICK""}","{""ImportId"":""QID60_LAST_CLICK""}","{""ImportId"":""QID60_PAGE_SUBMIT""}","{""ImportId"":""QID60_CLICK_COUNT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID61_FIRST_CLICK""}","{""ImportId"":""QID61_LAST_CLICK""}","{""ImportId"":""QID61_PAGE_SUBMIT""}","{""ImportId"":""QID61_CLICK_COUNT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID63""}","{""ImportId"":""QID62""}","{""ImportId"":""QID94""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID65""}","{""ImportId"":""QID93""}","{""ImportId"":""QID67""}","{""ImportId"":""QID8""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID74""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID76""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_3_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""id""}","{""ImportId"":""DeviceIdentifier""}"
2021-05-10 01:28:54,2021-05-10 01:34:50,IP Address,213.55.244.7,100,356,True,2021-05-10 01:34:51,R_2Xj5EDJQ418bQu2,,,,,46.5294036865234375,6.6123046875,anonymous,FR,0,0,6.046,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Firefox,78.0,Macintosh,1280x800,M,L,M,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,colère,3.357,3.357,18.468,1,émerveillement et affection,2.23,13.096,23.4,2,contrat,2.062,20.615,28.027,4,colère,1.637,1.637,17.434,1,excitation,2.101,2.101,14.081,1,"plaisir
",1.62,1.62,7.818,1,"excitation, enthousiasme",1.362,1.362,17.744,1,10.01,(6) Très probable,(6) Très susceptible,(6) Tout à fait d'accord,,,,,Oui,Je prends le temps de réfléchir avec précision,Très négatifs (6),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt d'accord,Tout à fait d'accord,Plutôt d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Plutôt d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,34,Une Femme,,Etudiant.e,,,13750,
2021-05-10 01:27:37,2021-05-10 01:40:03,IP Address,62.202.188.25,100,745,True,2021-05-10 01:40:03,R_2EmjS3CXyTA3WFG,,,,,46.5294036865234375,6.6123046875,anonymous,FR,0,0,4.152,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,87.0.4280.88,Macintosh,1440x900,S,S,Y,2,8,30,41.733,41.733,53.094,1,13.50,118.518,118.518,121.701,1,0.5,43.221,43.221,47.464,1,15,20.991,20.991,93.206,1,234,51.1,51.1,53.926,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,(1),(0) Pas du tout susceptible,(0) Pas du tout d'accord,Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,(2),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt en désaccord,Tout à fait d'accord,Plutôt en désaccord,"Ni d'accord, ni en désaccord",Plutôt en désaccord,Plutôt d'accord,Plutôt en désaccord,Plutôt en désaccord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt d'accord,21,Une Femme,,Etudiant.e,,,11017,
2021-05-10 01:43:39,2021-05-10 01:49:46,IP Address,78.112.66.41,100,366,True,2021-05-10 01:49:46,R_21p4smyxhJQKx8K,,,,,46.3282012939453125,6.3831024169921875,anonymous,FR,0,0,19.582,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.3,Macintosh,1440x900,D,M,J,16,11,30,2.753,2.753,24.243,1,13.5,2.138,2.138,20.985,1,1,45.995,91.111,91.56,2,15,1.199,1.199,11.683,1,124,1.366,1.366,14.374,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,(5),(3),(4),,,,,Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,Très négatifs (6),Pas de sentiments positifs à propos du réchauffement climatique (0),"Ni d'accord, ni en désaccord",Tout à fait d'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,En désaccord,Tout à fait d'accord,"Ni d'accord, ni en désaccord",Tout à fait d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,22,Une Femme,,Etudiant.e,,,11431,
2021-05-10 01:44:09,2021-05-10 01:52:43,IP Address,90.41.161.77,100,513,True,2021-05-10 01:52:43,R_2X1cs17FeJtemWQ,,,,,46.0644073486328125,6.31689453125,anonymous,FR,0,0,26.155,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.93,Windows NT 10.0,1280x720,D,A,A,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,"politique
",4.195,4.195,10.262,1,mignon,1.482,1.482,10.336,1,amour,3.1,3.1,9.841,1,inégalité,1.651,1.651,35.411,1,puissance/force,1.817,1.817,56.945,1,calme,3.84,3.84,10.572,1,"Je ressens comme une notion de réseau, où tout est possible/accessible",1.651,1.651,8.001,1,,,,,8.97,(1),(1),(5),Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt d'accord,Tout à fait d'accord,Plutôt d'accord,D'accord,D'accord,Tout à fait d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",D'accord,D'accord,Plutôt d'accord,D'accord,Plutôt d'accord,Tout à fait d'accord,18,Une Femme,,Etudiant.e,,,13117,
2021-05-10 01:58:32,2021-05-10 02:08:00,IP Address,185.10.224.66,100,567,True,2021-05-10 02:08:00,R_2SDd6lfWviEqne5,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0,0,35.036,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.93,Windows NT 10.0,1280x720,E,T,U,4,11,30 m,2.398,33.382,44.844,4,"13,5 chf",7.32,29.241,32.165,2,1 chf,20.991,24.15,26.968,2,15,12.521,12.521,24.128,1,234,51.541,51.541,55.301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,(5),(5),(5),Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt en désaccord,Tout à fait d'accord,"Ni d'accord, ni en désaccord",Tout à fait d'accord,Plutôt d'accord,Pas du tout d'accord,Plutôt d'accord,Plutôt en désaccord,Plutôt d'accord,D'accord,Plutôt d'accord,D'accord,Plutôt d'accord,Tout à fait d'accord,20,Une Femme,,Etudiant.e,,,13003,
2021-05-10 02:06:18,2021-05-10 02:13:26,IP Address,178.192.154.86,100,427,True,2021-05-10 02:13:26,R_b79JoMrg87Qv1ct,,,,,46.76849365234375,7.1605072021484375,anonymous,FR,0,0,2.192,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.93,Windows NT 10.0,1920x1080,D,C,M,25,9,30,5.134,5.134,20.724,1,"13,5",20.793,20.793,26.781,1,1,10.911,10.911,16.492,1,15,14.999,14.999,17.662,1,234,10.507,11.676,18.811,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,(6) Très probable,(5),(6) Tout à fait d'accord,Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,(4),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt d'accord,"Ni d'accord, ni en désaccord",D'accord,Tout à fait d'accord,D'accord,D'accord,D'accord,"Ni d'accord, ni en désaccord",D'accord,D'accord,Plutôt d'accord,D'accord,D'accord,D'accord,19,Une Femme,,Etudiant.e,,,12478,
2021-05-10 02:05:57,2021-05-10 02:14:13,IP Address,92.106.129.186,100,496,True,2021-05-10 02:14:14,R_8CFCikBe9w7g1pL,,,,,46.191497802734375,6.1403045654296875,anonymous,FR,0,0,12.192,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.1,Macintosh,1440x900,C,C,J,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,De la surprise car ça faisait longtemps que je n'avais pas entendu parler de lui.,4.273,4.273,28.739,1,"Je ressens de l'attendrissement car j'adore les petits enfants.
",2.022,2.022,31.557,1,Je ressens de la joie car c'est beau de voir deux personnes qui s'aiment s'unir pour la vie.,1.703,1.703,44.531,1,"Je ressens de la tristesse car il y a, selon moi, beaucoup trop d'inégalités dans le monde.",1.676,1.676,39.538,1,Je ressens de l'entrain et en même temps de la peur.,28.22,28.22,47.633,1,Je ressens de l'ennui car le dimanche on fait souvent pas grand chose et on reste à la maison alors que j'aime être active.,1.461,1.461,45.582,1,Je ressens une sorte de peur car on sait aujourd'hui qu'avec nos recherches sur internet et avec les réseaux sociaux notre vie privée est espionnée.,5.789,5.789,23.152,1,11.03,(5),(5),(5),,,,,Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(2),Légèrement positifs (1),D'accord,Tout à fait d'accord,Plutôt d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,D'accord,D'accord,D'accord,Plutôt d'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,18,Une Femme,,Etudiant.e,,,13072,
2021-05-10 02:00:06,2021-05-10 02:15:37,IP Address,213.55.244.13,100,931,True,2021-05-10 02:15:38,R_25zSpmj0vEVsr2x,,,,,46.5294036865234375,6.6123046875,anonymous,FR,0,0,26.806,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,13.1.1,Macintosh,1440x900,N,M,D,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,rien,12.056,12.056,73.286,1,bonheur,3.819,3.819,53.67,1,souvenirs agréables,6.395,6.395,46.33,1,l'empathie,3.438,85.438,86.87,2,peur de l'inconnu mais en même temps espoir pour un changement positif,5.626,5.626,33.333,1,"angoisse ",4.201,52.235,58.097,3,"rien ",3.353,3.353,17.475,1,7,(1),(0) Pas du tout susceptible,(3),,,,,Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(3),Légèrement positifs (1),Plutôt en désaccord,Tout à fait d'accord,"Ni d'accord, ni en désaccord",Plutôt en désaccord,D'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,Pas du tout d'accord,Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,En désaccord,En désaccord,29,Une Femme,,Etudiant.e,,,12766,
